model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,bindingdb,seed_6,drug,base,0.124131,0.1125,0.027864
PACE,bindingdb,seed_6,target,base,0.045052,0.1,0.026316
PACE,bindingdb,seed_7,drug,base,-0.10698,-0.154762,-0.038926
PACE,bindingdb,seed_7,target,base,-0.023566,-0.083334,-0.020408
PACE,bindingdb,seed_8,drug,base,0.311138,0.158171,0.041288
PACE,bindingdb,seed_8,target,base,0.22393,0.071428,0.018518
PACE,biosnap,seed_4,drug,base,0.285457,0.236329,0.059097
PACE,biosnap,seed_4,target,base,0.081258,0.064825,0.01626
PACE,biosnap,seed_5,drug,base,0.279214,0.193796,0.048358
PACE,biosnap,seed_5,target,base,0.184173,0.12397,0.030833
PACE,biosnap,seed_6,drug,base,0.167132,0.048649,0.012088
PACE,biosnap,seed_6,target,base,0.011811,-0.008928,-0.002232
PACE,biosnap,seed_7,drug,base,-0.010969,0.023772,0.006002
PACE,biosnap,seed_7,target,base,0.0,0.0,0.0
PACE,biosnap,seed_8,drug,base,0.23186,0.163657,0.040675
PACE,biosnap,seed_8,target,base,0.100716,0.118518,0.02939
PACE,human,seed_4,drug,base,-0.020768,-0.019231,-0.00463
PACE,human,seed_4,target,base,-0.075916,-0.074359,-0.018482
PACE,human,seed_5,drug,base,-0.047959,-0.017857,-0.00463
PACE,human,seed_5,target,base,-0.033136,0.017857,0.00463
PACE,human,seed_6,drug,base,-0.004792,0.0,0.0
PACE,human,seed_6,target,base,0.0,0.0,0.0
PACE,human,seed_7,drug,base,0.0,0.0,0.0
PACE,human,seed_7,target,base,-0.158409,-0.096154,-0.024038
PACE,human,seed_8,drug,base,0.0,0.0,0.0
PACE,human,seed_8,target,base,-0.009309,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,,,
TAPB,bindingdb,seed_4,target,base,,,
TAPB,bindingdb,seed_5,drug,base,0.125531,0.22153,0.055094
TAPB,bindingdb,seed_5,target,base,0.060931,0.09,0.0225
TAPB,bindingdb,seed_6,drug,base,,,
TAPB,bindingdb,seed_6,target,base,,,
TAPB,bindingdb,seed_7,drug,base,0.245235,0.25852,0.063931
TAPB,bindingdb,seed_7,target,base,0.126847,0.117437,0.029057
TAPB,bindingdb,seed_8,drug,base,0.1511,0.20503,0.051353
TAPB,bindingdb,seed_8,target,base,0.118319,0.159045,0.039729
TAPB,biosnap,seed_4,drug,base,0.223192,0.119255,0.029748
TAPB,biosnap,seed_4,target,base,0.017367,0.001389,0.00037
TAPB,biosnap,seed_5,drug,base,0.07059,0.01872,0.00468
TAPB,biosnap,seed_5,target,base,-0.00725,0.015625,0.003906
TAPB,biosnap,seed_6,drug,base,0.052428,0.013158,0.003378
TAPB,biosnap,seed_6,target,base,0.005127,0.0,0.0
TAPB,biosnap,seed_7,drug,base,0.089094,0.047964,0.01208
TAPB,biosnap,seed_7,target,base,0.03567,0.000313,7e-05
TAPB,biosnap,seed_8,drug,base,0.161074,0.035185,0.008728
TAPB,biosnap,seed_8,target,base,0.04438,0.036364,0.008956
TAPB,human,seed_4,drug,base,0.0,0.0,0.0
TAPB,human,seed_4,target,base,0.0,0.0,0.0
TAPB,human,seed_5,drug,base,0.007561,-0.020833,-0.005
TAPB,human,seed_5,target,base,-0.007485,-0.045454,-0.011364
TAPB,human,seed_6,drug,base,0.101769,0.104167,0.027174
TAPB,human,seed_6,target,base,0.212912,0.225,0.054152
TAPB,human,seed_7,drug,base,-0.018557,-0.033333,-0.008197
TAPB,human,seed_7,target,base,0.020428,0.03125,0.007692
TAPB,human,seed_8,drug,base,0.0,0.0,0.0
TAPB,human,seed_8,target,base,0.038556,0.046875,0.011719
