model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty,primary,group_cv_unavailable,,,,14,1,13,5.0,0.384615384615,0.7,0.531111111111,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,1,13,5.0,0.384615384615,0.675,0.525396825397,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,1,13,5.0,0.384615384615,0.35,0.441724941725,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,native_density,baseline,complete,native_domain_density_distance,,,14,1,13,5.0,0.384615384615,0.325,0.410256410256,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,uncertainty_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,native_density,baseline,complete,native_domain_density_distance,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty,primary,group_cv_unavailable,,,,14,1,13,5.0,0.384615384615,0.7,0.531111111111,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,1,13,5.0,0.384615384615,0.675,0.525396825397,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,1,13,5.0,0.384615384615,0.35,0.441724941725,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,native_density,baseline,complete,native_domain_density_distance,,,14,1,13,5.0,0.384615384615,0.325,0.410256410256,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,uncertainty_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,native_density,baseline,complete,native_domain_density_distance,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,uncertainty,primary,group_cv_unavailable,,,,14,1,13,5.0,0.384615384615,0.7,0.531111111111,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,1,13,5.0,0.384615384615,0.675,0.525396825397,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,1,13,5.0,0.384615384615,0.35,0.441724941725,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,native_density,baseline,complete,native_domain_density_distance,,,14,1,13,5.0,0.384615384615,0.325,0.410256410256,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,1,0,0.0,,,,0,,,,,,,,1,0.071428571429
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,uncertainty_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,native_density,baseline,complete,native_domain_density_distance,,,3,0,3,0.0,0.0,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,0,0,0.0,,,,0,,,,,,,,0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,uncertainty,primary,complete,calibrated_error_risk,0.916666666667,0.083333333333,14,3,11,5.0,0.454545454545,0.933333333333,0.942857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,3,11,5.0,0.454545454545,0.866666666667,0.852857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,3,11,5.0,0.454545454545,0.333333333333,0.481818181818,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,14,3,11,5.0,0.454545454545,0.3,0.450909090909,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,uncertainty_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,uncertainty,primary,complete,calibrated_error_risk,0.916666666667,0.083333333333,14,3,11,5.0,0.454545454545,0.933333333333,0.942857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,3,11,5.0,0.454545454545,0.866666666667,0.852857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,3,11,5.0,0.454545454545,0.333333333333,0.481818181818,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,native_density,baseline,complete,native_domain_density_distance,,,14,3,11,5.0,0.454545454545,0.3,0.450909090909,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,uncertainty_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,native_density,baseline,complete,native_domain_density_distance,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,uncertainty,primary,complete,calibrated_error_risk,0.916666666667,0.083333333333,14,3,11,5.0,0.454545454545,0.933333333333,0.942857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,3,11,5.0,0.454545454545,0.866666666667,0.852857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,3,11,5.0,0.454545454545,0.333333333333,0.481818181818,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,native_density,baseline,complete,native_domain_density_distance,,,14,3,11,5.0,0.454545454545,0.3,0.450909090909,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,uncertainty_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,native_density,baseline,complete,native_domain_density_distance,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,uncertainty,primary,complete,calibrated_error_risk,0.916666666667,0.083333333333,14,3,11,5.0,0.454545454545,0.933333333333,0.942857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,uncertainty_prior,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,uncertainty_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,14,3,11,5.0,0.454545454545,0.866666666667,0.852857142857,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,14,3,11,5.0,0.454545454545,0.333333333333,0.481818181818,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,native_density,baseline,complete,native_domain_density_distance,,,14,3,11,5.0,0.454545454545,0.3,0.450909090909,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,14,3,0,0.0,,,,0,,,,,,,,3,0.214285714286
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,uncertainty_prior,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,uncertainty_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,raw_uncertainty,baseline,complete,raw_error_risk,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,native_max_shift,baseline,complete,native_domain_shift_score,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,native_density,baseline,complete,native_domain_density_distance,,,3,1,2,0.0,0.0,,,0,,,,,,,,1,0.333333333333
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,3,1,0,0.0,,,,0,,,,,,,,1,0.333333333333
